"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry11","63","ftz:CH68_1770","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_1770",NA,"rn:R08769 rn:R04988",NA,520,927,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry12","64","ftz:CH68_785","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_785",NA,"rn:R08768 rn:R04987",NA,520,846,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry15","67","ftz:CH68_1770","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_1770",NA,"rn:R08781 rn:R05614",NA,482,1242,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry17","69","ftz:CH68_379","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_379",NA,"rn:R01302",NA,540,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry39","92","ftz:CH68_378","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_378",NA,"rn:R05000 rn:R05615",NA,482,697,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry52","105","ftz:CH68_430","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_430",NA,"rn:R09736",NA,800,1182,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry80","133","ftz:CH68_1061","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_1061",NA,"rn:R08775 rn:R04984",NA,432,1163,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry82","135","ftz:CH68_784","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_784",NA,"rn:R08773 rn:R04989",NA,482,1001,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry83","136","ftz:CH68_430","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_430",NA,"rn:R08774 rn:R04990",NA,482,1082,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry100","167","ftz:CH68_2098","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_2098",NA,"rn:R02964",NA,755,1306,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry103","170","ftz:CH68_2098","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_2098",NA,"rn:R03816",NA,1010,1306,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
"entry120","195","ftz:CH68_499","gene","http://www.kegg.jp/dbget-bin/www_bget?ftz:CH68_499",NA,"rn:R10668",NA,629,866,"rectangle",46,17,"#000000","#BFFFBF",1,"00130"
