"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","81","ctq:G11222_04425 / ctq:G11222_04430","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_04425+ctq:G11222_04430",NA,"rn:R02018",NA,450,717,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry4","84","ctq:G11222_03600","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_03600",NA,"rn:R00158",NA,505,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry19","99","ctq:G11222_02640","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_02640",NA,"rn:R00156",NA,395,237,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry21","101","ctq:G11222_00205","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_00205",NA,"rn:R00568",NA,283,286,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry22","102","ctq:G11222_00940","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_00940",NA,"rn:R00571 rn:R00573",NA,334,311,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry28","109","ctq:G11222_01115","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_01115",NA,"rn:R00963",NA,633,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry36","117","ctq:G11222_02640","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_02640",NA,"rn:R00570",NA,394,391,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry40","121","ctq:G11222_01115","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_01115",NA,"rn:R00511",NA,633,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry49","131","ctq:G11222_04425 / ctq:G11222_04430","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_04425+ctq:G11222_04430",NA,"rn:R02024",NA,450,460,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry50","132","ctq:G11222_02640","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_02640",NA,"rn:R02326",NA,395,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry51","133","ctq:G11222_00205","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_00205",NA,"rn:R02325",NA,332,599,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry56","138","ctq:G11222_01115","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_01115",NA,"rn:R01664",NA,633,551,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry58","140","ctq:G11222_02640","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_02640",NA,"rn:R02331",NA,391,644,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry59","142","ctq:G11222_00965","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_00965",NA,"rn:R02098",NA,504,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry66","149","ctq:G11222_02640","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_02640",NA,"rn:R02093",NA,393,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry68","152","ctq:G11222_00965","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_00965",NA,"rn:R02094",NA,506,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry70","154","ctq:G11222_01115","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_01115",NA,"rn:R01569",NA,633,739,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry163","269","ctq:G11222_01115","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_01115",NA,"rn:R02102",NA,633,674,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry167","274","ctq:G11222_02640","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_02640",NA,"rn:R00139",NA,760,475,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry175","288","ctq:G11222_01500","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_01500",NA,"rn:R02100",NA,446,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry176","289","ctq:G11222_02365","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_02365",NA,"rn:R01665",NA,504,525,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry177","290","ctq:G11222_02365","gene","http://www.kegg.jp/dbget-bin/www_bget?ctq:G11222_02365",NA,"rn:R00512",NA,504,392,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
