"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry26","50","seen:SE451236_14430","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_14430",NA,"rn:R07765",NA,1264,610,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry34","58","seen:SE451236_07155","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07155",NA,"rn:R07764",NA,1264,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry35","59","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R07762",NA,1264,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry36","60","seen:SE451236_11825","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11825",NA,"rn:R07763",NA,1264,424,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry40","64","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R04968",NA,1037,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry41","65","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R04726",NA,895,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry42","66","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R04963",NA,754,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry43","67","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R04960",NA,612,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry44","68","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R04957",NA,470,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry45","69","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R04952",NA,328,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry52","76","seen:SE451236_14430","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_14430",NA,"rn:R04969 rn:R04970",NA,1037,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry57","81","seen:SE451236_11825","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11825",NA,"rn:R04543",NA,1037,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry60","84","seen:SE451236_18095","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_18095",NA,"rn:R04968",NA,1037,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry63","87","seen:SE451236_14430","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_14430",NA,"rn:R04966 rn:R04967",NA,895,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry68","92","seen:SE451236_11825","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11825",NA,"rn:R04566",NA,895,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry71","95","seen:SE451236_18095","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_18095",NA,"rn:R04726",NA,895,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry74","98","seen:SE451236_14430","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_14430",NA,"rn:R04724 rn:R04725",NA,754,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry79","103","seen:SE451236_11825","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11825",NA,"rn:R04964",NA,754,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry82","106","seen:SE451236_18095","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_18095",NA,"rn:R04963",NA,754,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry85","109","seen:SE451236_14430","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_14430",NA,"rn:R04961 rn:R04962",NA,612,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry90","114","seen:SE451236_11825","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11825",NA,"rn:R04534",NA,612,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry93","117","seen:SE451236_18095","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_18095",NA,"rn:R04960",NA,612,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry96","120","seen:SE451236_14430","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_14430",NA,"rn:R04958 rn:R04959",NA,470,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry101","125","seen:SE451236_11825","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11825",NA,"rn:R04536",NA,470,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry104","128","seen:SE451236_18095","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_18095",NA,"rn:R04957",NA,470,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry107","131","seen:SE451236_14430","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_14430",NA,"rn:R04955 rn:R04956",NA,328,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry112","136","seen:SE451236_11825","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11825",NA,"rn:R04953",NA,328,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry115","139","seen:SE451236_18095","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_18095",NA,"rn:R04952",NA,328,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry118","142","seen:SE451236_14430","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_14430",NA,"rn:R04429 rn:R04430",NA,187,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry121","145","seen:SE451236_11190","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11190",NA,"rn:R04428",NA,187,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry124","148","seen:SE451236_11825","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11825",NA,"rn:R04533",NA,187,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry129","153","seen:SE451236_11820","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11820",NA,"rn:R01626",NA,300,227,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry135","159","seen:SE451236_07180 / seen:SE451236_18035 / seen:SE451236_23015 / seen:SE451236_23020","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07180+seen:SE451236_18035+seen:SE451236_23015+seen:SE451236_23020",NA,"rn:R00742",NA,275,147,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry205","262","seen:SE451236_18095","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_18095",NA,"rn:R07762",NA,1264,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry207","264","seen:SE451236_18095","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_18095",NA,"rn:R04355",NA,187,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry208","265","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R04355",NA,187,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry210","268","seen:SE451236_11815","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11815",NA,"rn:R10707",NA,34,329,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry214","272","seen:SE451236_07155","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07155",NA,"rn:R04428",NA,187,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry215","273","seen:SE451236_11190","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11190",NA,"rn:R04954",NA,328,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry216","274","seen:SE451236_07155","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07155",NA,"rn:R04954",NA,328,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry218","276","seen:SE451236_11190","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11190",NA,"rn:R04537",NA,470,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry219","277","seen:SE451236_07155","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07155",NA,"rn:R04537",NA,470,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry220","278","seen:SE451236_11190","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11190",NA,"rn:R04535",NA,612,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry221","279","seen:SE451236_07155","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07155",NA,"rn:R04535",NA,612,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry222","280","seen:SE451236_11190","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11190",NA,"rn:R04965",NA,754,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry223","281","seen:SE451236_07155","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07155",NA,"rn:R04965",NA,754,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry225","283","seen:SE451236_11190","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11190",NA,"rn:R04568",NA,895,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry226","284","seen:SE451236_07155","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07155",NA,"rn:R04568",NA,895,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry228","286","seen:SE451236_11190","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11190",NA,"rn:R04544",NA,1037,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry229","287","seen:SE451236_07155","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07155",NA,"rn:R04544",NA,1037,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry234","294","seen:SE451236_11190","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11190",NA,"rn:R07639",NA,536,723,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry240","301","seen:SE451236_15035","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_15035",NA,"rn:R01280",NA,1012,829,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry276","348","seen:SE451236_11825","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11825",NA,"rn:R02767",NA,931,1269,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry290","369","seen:SE451236_14430","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_14430",NA,"rn:R01403",NA,701,1406,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry299","383","seen:SE451236_18095","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_18095",NA,"rn:R02768",NA,651,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry300","384","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R02768",NA,701,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry303","388","seen:SE451236_15035","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_15035",NA,"rn:R00390",NA,308,1540,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry307","395","seen:SE451236_15035","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_15035",NA,"rn:R00390",NA,677,1540,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry311","401","seen:SE451236_11815","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11815",NA,"rn:R10707",NA,574,1175,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry312","402","seen:SE451236_11820","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11820",NA,"rn:R01626",NA,677,1124,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry313","403","seen:SE451236_11825","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11825",NA,"rn:R02767",NA,677,1269,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry314","404","seen:SE451236_07155 / seen:SE451236_11190","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07155+seen:SE451236_11190",NA,"rn:R10208",NA,677,1342,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry315","405","seen:SE451236_11820","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11820",NA,"rn:R01626",NA,957,1124,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry316","406","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R02768",NA,957,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry318","409","seen:SE451236_11835","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_11835",NA,"rn:R04355",NA,855,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry320","411","seen:SE451236_07180 / seen:SE451236_18035 / seen:SE451236_23015 / seen:SE451236_23020","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_07180+seen:SE451236_18035+seen:SE451236_23015+seen:SE451236_23020",NA,"rn:R00742",NA,677,1054,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry322","413","seen:SE451236_14430","gene","http://www.kegg.jp/dbget-bin/www_bget?seen:SE451236_14430",NA,"rn:R01404",NA,701,1425,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
