"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ap_ec","eccentricity","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree","subgraph7_size","subgraph7_community","subgraph7_mean_degree"
"1","4428","ec","00680",83,180,"ec:1.5.8.1",8,6,53,13,4.96296296296296,8,4,1.75,4,4,1,7,5,0.857142857142857,4,4,1,6,6,0.666666666666667,NA,NA,NA
"2","4453","ec","00680",83,180,"ec:2.1.2.1",5,6,38,10,5.23076923076923,19,7,2.84210526315789,8,5,1.25,4,4,0.5,7,4,0.857142857142857,6,6,0.666666666666667,NA,NA,NA
"3","4481","ec","00680",83,180,"ec:2.7.8.28",3,7,58,14,4.8135593220339,8,4,1.75,4,4,1,1,1,0,3,3,0.666666666666667,6,6,0.666666666666667,2,2,0
"4","4483","ec","00680",83,180,"ec:6.3.2.31",3,6,58,14,4.8135593220339,8,4,1.75,4,4,1,4,4,0.5,2,2,0,6,6,0.666666666666667,NA,NA,NA
"5","4484","ec","00680",83,180,"ec:6.3.2.34",4,6,58,14,4.8135593220339,8,4,1.75,4,4,1,5,5,0.8,6,6,0.666666666666667,1,1,0,NA,NA,NA
"6","4487","ec","00680",83,180,"ec:3.1.3.71",2,6,58,14,4.8135593220339,8,4,1.75,1,1,0,2,2,0,7,4,0.857142857142857,6,6,0.666666666666667,NA,NA,NA
"7","4488","ec","00680",83,180,"ec:1.1.1.337",2,6,58,14,4.8135593220339,8,4,1.75,2,2,1,7,4,0.857142857142857,6,6,0.666666666666667,1,1,0,NA,NA,NA
"8","4496","ec","00680",83,180,"ec:6.3.4.24",4,6,58,14,4.88135593220339,8,4,1.75,4,4,1,7,5,0.857142857142857,1,1,0,4,4,1,NA,NA,NA
"9","4498","ec","00680",83,180,"ec:2.6.1.108",4,6,58,14,4.88135593220339,8,4,1.75,4,4,1,7,5,0.857142857142857,4,4,0.5,1,1,0,NA,NA,NA
"10","4499","ec","00680",83,180,"ec:2.7.4.31",3,6,58,14,4.88135593220339,8,4,1.75,4,4,1,7,5,0.857142857142857,3,3,0,2,2,1,NA,NA,NA
"11","4500","ec","00680",83,180,"ec:2.5.1.131",3,6,58,10,5.25423728813559,8,2,2.75,4,2,1.5,7,3,1.71428571428571,2,2,1,3,3,1.33333333333333,NA,NA,NA
"12","4507","ec","00680",83,180,"ec:4.3.1.32",4,6,58,9,5.08474576271186,8,3,2.25,4,4,1,5,3,1.2,6,3,1,1,1,0,NA,NA,NA
