"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ap_ec","ap_group","eccentricity","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree"
"1",1745,"ec","00290",24,25,"ec:2.3.1.182","<30",6,4,10,4,1.63636363636364,1,1,0,10,3,2,2,2,0,NA,NA,NA
"2",1747,"ec","00290",24,25,"ec:1.1.1.85",">=80",5,4,8,5,1.11111111111111,1,1,0,12,5,1.66666666666667,2,2,0,NA,NA,NA
"3",1752,"ec","00290",24,25,"ec:1.1.1.86",">=80",4,4,6,7,0.571428571428571,12,5,1.66666666666667,3,3,0,2,2,0,NA,NA,NA
"4",1756,"ec","00290",24,25,"ec:2.3.3.13",">=80",6,4,10,4,1.63636363636364,10,6,1.2,1,1,0,2,2,0,NA,NA,NA
"5",1759,"ec","00290",24,25,"ec:4.2.1.9",">=80",5,4,10,4,1.63636363636364,6,6,0.333333333333333,5,5,2,2,2,0,NA,NA,NA
"6",1761,"ec","00290",24,25,"ec:5.4.99.3","<30",3,4,5,6,0.666666666666667,12,5,1.66666666666667,4,4,1,2,2,0,NA,NA,NA
"7",1763,"ec","00290",24,25,"ec:4.2.1.9",">=80",5,5,7,5,0.75,12,5,1.66666666666667,1,1,0,2,2,0,1,1,0
"8",1764,"ec","00290",24,25,"ec:1.1.1.86",">=80",4,4,10,4,1.63636363636364,5,5,0.4,6,2,2.33333333333333,2,2,0,NA,NA,NA
"9",1765,"ec","00290",24,25,"ec:2.2.1.6",">=80",4,5,3,4,1,12,3,2,1,1,0,5,2,1.6,2,2,0
"10",1766,"ec","00290",24,25,"ec:5.4.99.3","<30",4,4,10,4,1.81818181818182,4,2,1.5,7,2,2.28571428571429,2,2,0,NA,NA,NA
"11",1771,"ec","00290",24,25,"ec:2.2.1.6",">=80",5,5,10,4,1.63636363636364,2,2,0,1,1,0,8,3,2,2,2,0
