"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree"
"1",3267,"ec","00531",23,21,1,8,"ec:3.10.1.1","30<=x<80",51.0593220338983,5,5,5,2,1.66666666666667,3,3,1.33333333333333,5,3,1.2,6,3,1.33333333333333,3,3,0
"2",3269,"ec","00531",23,21,1,8,"ec:3.1.6.14","30<=x<80",48.5169491525424,3,5,5,2,1.66666666666667,9,4,1.55555555555556,4,2,1.5,3,3,0,1,1,0
"3",3272,"ec","00531",23,21,1,8,"ec:3.1.6.13","30<=x<80",48.9406779661017,7,5,5,2,1.66666666666667,1,1,0,7,4,1.42857142857143,6,3,1.33333333333333,3,3,0
"4",3273,"ec","00531",23,21,1,8,"ec:3.1.6.4","30<=x<80",35.3813559322034,3,5,5,2,1.66666666666667,9,4,1.55555555555556,4,4,1,1,1,0,3,3,0
"5",3274,"ec","00531",23,21,1,8,"ec:3.2.1.76","30<=x<80",39.8305084745763,2,5,1,2,0,3,3,0.666666666666667,9,3,1.55555555555556,6,3,1.33333333333333,3,3,0
"6",3275,"ec","00531",23,21,1,8,"ec:3.2.1.76","30<=x<80",39.8305084745763,6,5,5,2,1.66666666666667,2,2,1,6,3,1.33333333333333,6,3,1.33333333333333,3,3,0
"7",3276,"ec","00531",23,21,1,8,"ec:3.1.6.12","30<=x<80",37.9237288135593,2,5,3,2,1,9,3,1.55555555555556,6,3,1.33333333333333,3,3,0,1,1,0
"8",3277,"ec","00531",23,21,1,8,"ec:3.2.1.23","30<=x<80",70.5508474576271,2,5,5,2,1.66666666666667,9,4,1.55555555555556,3,3,0.666666666666667,2,2,1,3,3,0
"9",3279,"ec","00531",23,21,1,8,"ec:2.3.1.78","30<=x<80",71.1864406779661,4,5,5,2,1.66666666666667,4,2,1.5,4,4,1,6,3,1.33333333333333,3,3,0
"10",3282,"ec","00531",23,21,1,8,"ec:3.2.1.50","30<=x<80",75.635593220339,5,5,5,2,1.66666666666667,5,2,1.6,3,3,0.666666666666667,6,3,1.33333333333333,3,3,0
"11",3283,"ec","00531",23,21,1,8,"ec:3.1.6.18","<30",0,6,5,5,2,1.66666666666667,6,3,1.66666666666667,2,2,0,6,3,1.33333333333333,3,3,0
"12",3285,"ec","00531",23,21,1,8,"ec:3.2.1.31","30<=x<80",54.6610169491525,7,5,5,2,1.66666666666667,7,3,1.71428571428571,6,3,1.33333333333333,3,3,0,1,1,0
"13",3288,"ec","00531",23,21,1,8,"ec:3.2.1.31","30<=x<80",54.6610169491525,1,5,5,2,1.66666666666667,9,4,1.55555555555556,6,3,1.33333333333333,1,1,0,1,1,0
