"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree"
"1",3621,"ec","00590",40,150,2,7,"ec:1.14.14.1","<30",4.54916916371561,5,13,0.00101626016260163,0.0103651222072275,0.0259150893334533,3,10,4,3.27272727272727,28,4,7.07142857142857,1,1,0
"2",3622,"ec","00590",40,150,2,7,"ec:1.14.14.1","<30",4.54916916371561,5,13,0.00101626016260163,0.0103651222072275,0.0259150893334534,3,10,4,3.27272727272727,28,4,7.07142857142857,1,1,0
"3",3623,"ec","00590",40,150,2,7,"ec:1.14.14.1","<30",4.54916916371561,5,12,0.00101626016260163,0.0103651222072275,0.0187375895538279,3,10,4,3.27272727272727,28,4,7.07142857142857,1,1,0
"4",3624,"ec","00590",40,150,2,7,"ec:1.14.14.1","<30",4.54916916371561,5,13,0.00102040816326531,0.0103651222072275,0.0187375895538278,3,10,4,3.27272727272727,28,4,7.07142857142857,1,1,0
"5",3630,"ec","00590",40,150,2,7,"ec:1.11.1.9",">=80",96.4859711250341,6,4,0.00106951871657754,0.00134952766531714,3.82603155799297e-17,3,10,4,3.27272727272727,28,4,6.28571428571429,1,1,0
"6",3635,"ec","00590",40,150,2,7,"ec:1.11.1.9",">=80",96.4859711250341,4,2,0.00126903553299492,0,3.86354446326321e-17,3,10,4,3.27272727272727,24,10,7.75,5,5,1.6
"7",3637,"ec","00590",40,150,2,7,"ec:1.13.11.33","<30",4.57640969763007,5,18,0.00100200400801603,0.0349940020992653,0.332390209775542,3,10,4,3.27272727272727,4,4,1,25,4,6.56
"8",3640,"ec","00590",40,150,2,7,"ec:1.13.11.34","<30",4.82157450286026,5,3,0.000711237553342817,0.00269905533063428,2.1049664505238e-17,3,10,4,3.27272727272727,25,5,7.52,4,4,1
"9",3641,"ec","00590",40,150,2,7,"ec:1.13.11.34","<30",4.82157450286026,4,16,0.000999000999000999,0.0187996701154596,0.606860967464194,3,10,4,3.27272727272727,23,9,8,6,6,1.66666666666667
"10",3642,"ec","00590",40,150,2,7,"ec:3.3.2.6","<30",12.4216834649959,6,3,0.000692520775623269,0.00134952766531714,3.42108808341492e-17,3,10,4,3.27272727272727,28,4,7.07142857142857,1,1,0
"11",3644,"ec","00590",40,150,2,7,"ec:4.4.1.20","<30",3.59575047670934,6,3,0.000657462195923734,0.00202429149797571,4.18782759994131e-17,3,10,4,3.27272727272727,28,5,7.07142857142857,1,1,0
"12",3651,"ec","00590",40,150,2,7,"ec:5.3.99.2","<30",7.65459002996459,2,6,0.000657462195923734,0.000674763832658569,1.50437896271834e-16,3,8,3,3.77777777777778,1,1,0,30,4,7.6
